id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2008,Mumbai,2008-04-16,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,normal,0,Rajasthan Royals,0,2,KS Williamson,Wankhede Stadium,Umpire A,Umpire B
2,2008,Ahmedabad,2008-04-20,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,normal,0,Chennai Super Kings,66,0,SK Raina,Narendra Modi Stadium,Umpire A,Umpire B
3,2008,Mumbai,2008-04-11,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,0,Delhi Capitals,0,9,KS Williamson,Wankhede Stadium,Umpire A,Umpire B
4,2008,Chennai,2008-04-16,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Lucknow Super Giants,0,7,V Kohli,MA Chidambaram Stadium,Umpire A,Umpire B
5,2008,Mumbai,2008-04-11,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,normal,0,Rajasthan Royals,0,8,RG Sharma,Wankhede Stadium,Umpire A,Umpire B
6,2008,Pune,2008-04-11,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,0,1,S Dhawan,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
7,2008,Ahmedabad,2008-04-02,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,normal,0,Rajasthan Royals,67,0,MS Dhoni,Narendra Modi Stadium,Umpire A,Umpire B
8,2008,Ahmedabad,2008-04-01,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,18,0,Q de Kock,Narendra Modi Stadium,Umpire A,Umpire B
9,2008,Pune,2008-04-02,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,59,0,S Dhawan,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
10,2008,Bangalore,2008-04-22,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,normal,0,Gujarat Titans,7,0,JM Bairstow,M Chinnaswamy Stadium,Umpire A,Umpire B
11,2008,Delhi,2008-04-12,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,normal,0,Gujarat Titans,3,0,RG Sharma,Arun Jaitley Stadium,Umpire A,Umpire B
12,2008,Pune,2008-04-08,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,69,0,RG Sharma,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
13,2008,Mumbai,2008-04-01,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,normal,0,Gujarat Titans,0,4,CH Gayle,Wankhede Stadium,Umpire A,Umpire B
14,2008,Bangalore,2008-04-07,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,12,0,AM Rahane,M Chinnaswamy Stadium,Umpire A,Umpire B
15,2008,Jaipur,2008-04-16,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Rajasthan Royals,71,0,SR Watson,Sawai Mansingh Stadium,Umpire A,Umpire B
16,2008,Ahmedabad,2008-04-02,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Royal Challengers Bangalore,0,8,KA Pollard,Narendra Modi Stadium,Umpire A,Umpire B
